Name,Address1,Address2,Time_Distane
Sunoco,"150th Ave And 148th, Jamaica, NY 11430, United States",Located in: JFK Airport Travel Plaza, Mode of Transport: Driving Distance: 1.93KM Time:5 min Mode of Transport: Driving Distance: 2.09KM Time:5 min Mode of Transport: Walking Distance: 0.97KM Time:13 min
JFK Airport Travel Plaza,"JFK International Airport Building #125, 150th Avenue &, 147th St, Jamaica, NY 11430, United States",Floor 1 · John F. Kennedy International Airport, Mode of Transport: Driving Distance: 1.93KM Time:5 min Mode of Transport: Driving Distance: 2.41KM Time:6 min Mode of Transport: Walking Distance: 0.97KM Time:13 min
bp,"130-11 N Conduit Ave, South Ozone Park, NY 11420, United States",, Mode of Transport: Driving Distance: 4.02KM Time:7 min Mode of Transport: Driving Distance: 2.74KM Time:10 min
Exxon Mobil,"156-05 Rockaway Blvd, Jamaica, NY 11434, United States",Open 24 hours · See more hours, Mode of Transport: Driving Distance: 4.02KM Time:9 min Mode of Transport: Driving Distance: 4.18KM Time:8 min Mode of Transport: Driving Distance: 4.18KM Time:9 min
Sunoco,"135-45 Cross Bay Blvd, Ozone Park, NY 11417, United States",, Mode of Transport: Driving Distance: 4.99KM Time:13 min Mode of Transport: Driving Distance: 7.4KM Time:15 min
Exxon,"22401 N Conduit Ave, Jamaica, NY 11413, United States",, Mode of Transport: Driving Distance: 5.31KM Time:10 min Mode of Transport: Driving Distance: 5.31KM Time:11 min
Sunoco Gas Station,"168-07 Baisley Blvd, Jamaica, NY 11434, United States",, Mode of Transport: Driving Distance: 4.67KM Time:13 min Mode of Transport: Driving Distance: 5.47KM Time:12 min Mode of Transport: Driving Distance: 5.47KM Time:14 min
bp,"114-02 Van Wyck Expy, Jamaica, NY 11420, United States",, Mode of Transport: Driving Distance: 5.15KM Time:11 min Mode of Transport: Driving Distance: 4.51KM Time:12 min
bp,"14555 Guy R Brewer Blvd, Rochdale, NY 11434, United States",, Mode of Transport: Driving Distance: 4.02KM Time:7 min Mode of Transport: Driving Distance: 3.86KM Time:9 min
bp,"100-07 Rockaway Blvd, Ozone Park, NY 11417, United States",, Mode of Transport: Driving Distance: 5.63KM Time:15 min Mode of Transport: Driving Distance: 5.47KM Time:15 min
Mobil,"113-21 Rockaway Blvd, South Ozone Park, NY 11420, United States",, Mode of Transport: Driving Distance: 4.51KM Time:12 min Mode of Transport: Driving Distance: 4.67KM Time:13 min Mode of Transport: Driving Distance: 4.67KM Time:13 min
Amoco,"16235 N Conduit Ave, Rochdale, NY 11434, United States",, Mode of Transport: Driving Distance: 3.86KM Time:7 min
bp,"1346 Beach Channel Dr, Far Rockaway, NY 11691, United States",, Mode of Transport: Driving Distance: 11.1KM Time:21 min
Sunoco,"163-02 Linden Blvd, Jamaica, NY 11434, United States",, Mode of Transport: Driving Distance: 5.47KM Time:13 min Mode of Transport: Driving Distance: 5.47KM Time:15 min Mode of Transport: Driving Distance: 6.12KM Time:16 min
Gulf Gas Station,"219-25 Merrick Blvd, Jamaica, NY 11413, United States",, Mode of Transport: Driving Distance: 7.08KM Time:15 min
bp,"105-15 Merrick Blvd, Jamaica, NY 11433, United States",, Mode of Transport: Driving Distance: 7.24KM Time:19 min Mode of Transport: Driving Distance: 7.24KM Time:19 min
bp,"13430 Atlantic Ave, South Richmond Hill, NY 11419, United States",, Mode of Transport: Transit Distance: 7.08KM Time:16 min Mode of Transport: Driving Distance: 7.24KM Time:20 min
bp,"144-31 Farmers Blvd, Jamaica, NY 11434, United States",, Mode of Transport: Driving Distance: 4.02KM Time:8 min Mode of Transport: Driving Distance: 4.18KM Time:8 min Mode of Transport: Driving Distance: 4.35KM Time:11 min
Speedway,"15904 Cross Bay Blvd, Howard Beach, NY 11414, United States",, Mode of Transport: Driving Distance: 5.47KM Time:12 min Mode of Transport: Driving Distance: 5.15KM Time:14 min
bp,"336 Rockaway Turnpike, Lawrence, NY 11559, United States",, Mode of Transport: Driving Distance: 7.4KM Time:13 min Mode of Transport: Driving Distance: 7.4KM Time:14 min Mode of Transport: Driving Distance: 8.85KM Time:15 min
bp,"14812 Rockaway Blvd, South Ozone Park, NY 11436, United States",, Mode of Transport: Driving Distance: 3.22KM Time:9 min Mode of Transport: Driving Distance: 4.18KM Time:10 min Mode of Transport: Driving Distance: 4.35KM Time:12 min
bp,"24516 139th Ave, Rosedale, NY 11422, United States",, Mode of Transport: Driving Distance: 6.76KM Time:13 min Mode of Transport: Driving Distance: 6.76KM Time:14 min
Conoco,"91-02 S Conduit Ave, Howard Beach, NY 11414, United States",, Mode of Transport: Driving Distance: 5.79KM Time:13 min Mode of Transport: Driving Distance: 5.47KM Time:14 min
Shell,"18525 N Conduit Ave, Queens, NY 11413, United States",, Mode of Transport: Driving Distance: 4.83KM Time:9 min Mode of Transport: Driving Distance: 5.79KM Time:12 min Mode of Transport: Driving Distance: 5.79KM Time:12 min
Sunoco,"471 Burnside Ave, Inwood, NY 11096, United States",, Mode of Transport: Driving Distance: 9.17KM Time:16 min
Mobil,"113-21 Merrick Blvd, Jamaica, NY 11433, United States",, Mode of Transport: Driving Distance: 6.28KM Time:16 min Mode of Transport: Driving Distance: 6.44KM Time:16 min
Mobil,"38-01 Beach Channel Dr, Far Rockaway, NY 11691, United States",, Mode of Transport: Driving Distance: 14.48KM Time:25 min
Speedway,"12903 N Conduit Ave, South Ozone Park, NY 11420, United States",, Mode of Transport: Driving Distance: 2.41KM Time:8 min Mode of Transport: Driving Distance: 3.7KM Time:9 min Mode of Transport: Driving Distance: 4.02KM Time:9 min
Mobil,"100-03 N Conduit Ave, Jamaica, NY 11417, United States",, Mode of Transport: Driving Distance: 3.7KM Time:10 min Mode of Transport: Driving Distance: 4.02KM Time:9 min
Shell,"137-21 Jamaica Ave, Jamaica, NY 11435, United States",, Mode of Transport: Transit Distance: 7.89KM Time:19 min Mode of Transport: Driving Distance: 6.76KM Time:25 min
Exxon,"137-21 Liberty Ave, Jamaica, NY 11435, United States",, Mode of Transport: Driving Distance: 6.12KM Time:13 min Mode of Transport: Driving Distance: 5.47KM Time:15 min
Amoco,"243-02 S Conduit Ave, Rosedale, NY 11422, United States",, Mode of Transport: Driving Distance: 6.6KM Time:13 min Mode of Transport: Driving Distance: 6.6KM Time:14 min
